param	expType	paramValue	species	type	conc	numTypes	growthRate
m	TRUE	1.0177704210323244e-4	1	S-species	1.0177704210323244e-4	1	2.589791
m	TRUE	1.0177704210323244e-4	2	S-species	0	1	1.685576
m	TRUE	1.0177704210323244e-4	3	S-species	0	1	2.262087
m	TRUE	1.0177704210323244e-4	4	S-species	0	1	1.239161
m	TRUE	1.0177704210323244e-4	5	E-species	0	1	2
m	TRUE	1.0177704210323244e-4	6	S-species	0	1	1.613319
m	TRUE	1.0177704210323244e-4	7	S-species	0	1	1.436066
m	TRUE	1.0177704210323244e-4	8	S-species	-2e-323	1	2.535142
m	TRUE	1.0177704210323244e-4	9	S-species	0	1	2.132169
m	TRUE	1.0177704210323244e-4	10	S-species	0	1	2.028718
m	FALSE	1.0713372852758077e-4	1	S-species	1.0713372852758077e-4	1	2.589791
m	FALSE	1.0713372852758077e-4	2	S-species	0	1	1.685576
m	FALSE	1.0713372852758077e-4	3	S-species	0	1	2.262087
m	FALSE	1.0713372852758077e-4	4	S-species	0	1	1.239161
m	FALSE	1.0713372852758077e-4	5	S-species	0	1	2
m	FALSE	1.0713372852758077e-4	6	S-species	0	1	1.613319
m	FALSE	1.0713372852758077e-4	7	S-species	0	1	1.436066
m	FALSE	1.0713372852758077e-4	8	S-species	0	1	2.535142
m	FALSE	1.0713372852758077e-4	9	S-species	0	1	2.132169
m	FALSE	1.0713372852758077e-4	10	S-species	0	1	2.028718
m	TRUE	1.0713372852758077e-4	1	S-species	1.0713372852758077e-4	1	2.589791
m	TRUE	1.0713372852758077e-4	2	S-species	0	1	1.685576
m	TRUE	1.0713372852758077e-4	3	S-species	0	1	2.262087
m	TRUE	1.0713372852758077e-4	4	S-species	0	1	1.239161
m	TRUE	1.0713372852758077e-4	5	E-species	0	1	2
m	TRUE	1.0713372852758077e-4	6	S-species	0	1	1.613319
m	TRUE	1.0713372852758077e-4	7	S-species	0	1	1.436066
m	TRUE	1.0713372852758077e-4	8	S-species	-5e-324	1	2.535142
m	TRUE	1.0713372852758077e-4	9	S-species	0	1	2.132169
m	TRUE	1.0713372852758077e-4	10	S-species	0	1	2.028718
m	FALSE	1.12772345816256e-4	1	S-species	1.1277234581625601e-4	1	2.589791
m	FALSE	1.12772345816256e-4	2	S-species	0	1	1.685576
m	FALSE	1.12772345816256e-4	3	S-species	0	1	2.262087
m	FALSE	1.12772345816256e-4	4	S-species	0	1	1.239161
m	FALSE	1.12772345816256e-4	5	S-species	0	1	2
m	FALSE	1.12772345816256e-4	6	S-species	0	1	1.613319
m	FALSE	1.12772345816256e-4	7	S-species	0	1	1.436066
m	FALSE	1.12772345816256e-4	8	S-species	1.5e-323	1	2.535142
m	FALSE	1.12772345816256e-4	9	S-species	0	1	2.132169
m	FALSE	1.12772345816256e-4	10	S-species	-1.5e-323	1	2.028718
m	TRUE	1.12772345816256e-4	1	S-species	1.1277234581625601e-4	1	2.589791
m	TRUE	1.12772345816256e-4	2	S-species	0	1	1.685576
m	TRUE	1.12772345816256e-4	3	S-species	0	1	2.262087
m	TRUE	1.12772345816256e-4	4	S-species	0	1	1.239161
m	TRUE	1.12772345816256e-4	5	E-species	0	1	2
m	TRUE	1.12772345816256e-4	6	S-species	0	1	1.613319
m	TRUE	1.12772345816256e-4	7	S-species	0	1	1.436066
m	TRUE	1.12772345816256e-4	8	S-species	8.4e-323	1	2.535142
m	TRUE	1.12772345816256e-4	9	S-species	0	1	2.132169
m	TRUE	1.12772345816256e-4	10	S-species	-1.5e-323	1	2.028718
m	FALSE	1.187077324357957e-4	1	S-species	1.187077324357957e-4	1	2.589791
m	FALSE	1.187077324357957e-4	2	S-species	0	1	1.685576
m	FALSE	1.187077324357957e-4	3	S-species	0	1	2.262087
m	FALSE	1.187077324357957e-4	4	S-species	0	1	1.239161
m	FALSE	1.187077324357957e-4	5	S-species	0	1	2
m	FALSE	1.187077324357957e-4	6	S-species	0	1	1.613319
m	FALSE	1.187077324357957e-4	7	S-species	0	1	1.436066
m	FALSE	1.187077324357957e-4	8	S-species	5e-324	1	2.535142
m	FALSE	1.187077324357957e-4	9	S-species	0	1	2.132169
m	FALSE	1.187077324357957e-4	10	S-species	0	1	2.028718
m	TRUE	1.187077324357957e-4	1	S-species	1.187077324357957e-4	1	2.589791
m	TRUE	1.187077324357957e-4	2	S-species	0	1	1.685576
m	TRUE	1.187077324357957e-4	3	S-species	0	1	2.262087
m	TRUE	1.187077324357957e-4	4	S-species	0	1	1.239161
m	TRUE	1.187077324357957e-4	5	E-species	0	1	2
m	TRUE	1.187077324357957e-4	6	S-species	0	1	1.613319
m	TRUE	1.187077324357957e-4	7	S-species	0	1	1.436066
m	TRUE	1.187077324357957e-4	8	S-species	2.5e-323	1	2.535142
m	TRUE	1.187077324357957e-4	9	S-species	0	1	2.132169
m	TRUE	1.187077324357957e-4	10	S-species	0	1	2.028718
m	FALSE	1.249555078246602e-4	1	S-species	1.2495550782466017e-4	1	2.589791
m	FALSE	1.249555078246602e-4	2	S-species	0	1	1.685576
m	FALSE	1.249555078246602e-4	3	S-species	0	1	2.262087
m	FALSE	1.249555078246602e-4	4	S-species	0	1	1.239161
m	FALSE	1.249555078246602e-4	5	S-species	0	1	2
m	FALSE	1.249555078246602e-4	6	S-species	0	1	1.613319
m	FALSE	1.249555078246602e-4	7	S-species	0	1	1.436066
m	FALSE	1.249555078246602e-4	8	S-species	2.5e-323	1	2.535142
m	FALSE	1.249555078246602e-4	9	S-species	0	1	2.132169
m	FALSE	1.249555078246602e-4	10	S-species	0	1	2.028718
m	TRUE	1.249555078246602e-4	1	S-species	1.2495550782466017e-4	1	2.589791
m	TRUE	1.249555078246602e-4	2	S-species	0	1	1.685576
m	TRUE	1.249555078246602e-4	3	S-species	0	1	2.262087
m	TRUE	1.249555078246602e-4	4	S-species	0	1	1.239161
m	TRUE	1.249555078246602e-4	5	E-species	0	1	2
m	TRUE	1.249555078246602e-4	6	S-species	0	1	1.613319
m	TRUE	1.249555078246602e-4	7	S-species	0	1	1.436066
m	TRUE	1.249555078246602e-4	8	S-species	-2e-323	1	2.535142
m	TRUE	1.249555078246602e-4	9	S-species	0	1	2.132169
m	TRUE	1.249555078246602e-4	10	S-species	0	1	2.028718
m	FALSE	1.3153211349701792e-4	1	S-species	1.3153211349701792e-4	1	2.589791
m	FALSE	1.3153211349701792e-4	2	S-species	0	1	1.685576
m	FALSE	1.3153211349701792e-4	3	S-species	0	1	2.262087
m	FALSE	1.3153211349701792e-4	4	S-species	0	1	1.239161
m	FALSE	1.3153211349701792e-4	5	S-species	0	1	2
m	FALSE	1.3153211349701792e-4	6	S-species	0	1	1.613319
m	FALSE	1.3153211349701792e-4	7	S-species	0	1	1.436066
m	FALSE	1.3153211349701792e-4	8	S-species	0	1	2.535142
m	FALSE	1.3153211349701792e-4	9	S-species	0	1	2.132169
m	FALSE	1.3153211349701792e-4	10	S-species	0	1	2.028718
m	TRUE	1.3153211349701792e-4	1	S-species	1.3153211349701792e-4	1	2.589791
m	TRUE	1.3153211349701792e-4	2	S-species	0	1	1.685576
m	TRUE	1.3153211349701792e-4	3	S-species	0	1	2.262087
m	TRUE	1.3153211349701792e-4	4	S-species	0	1	1.239161
m	TRUE	1.3153211349701792e-4	5	E-species	0	1	2
m	TRUE	1.3153211349701792e-4	6	S-species	0	1	1.613319
m	TRUE	1.3153211349701792e-4	7	S-species	0	1	1.436066
m	TRUE	1.3153211349701792e-4	8	S-species	9.4e-323	1	2.535142
m	TRUE	1.3153211349701792e-4	9	S-species	0	1	2.132169
m	TRUE	1.3153211349701792e-4	10	S-species	0	1	2.028718
m	FALSE	1.384548563098882e-4	1	S-species	1.384548563098882e-4	1	2.589791
m	FALSE	1.384548563098882e-4	2	S-species	0	1	1.685576
m	FALSE	1.384548563098882e-4	3	S-species	0	1	2.262087
m	FALSE	1.384548563098882e-4	4	S-species	0	1	1.239161
m	FALSE	1.384548563098882e-4	5	S-species	0	1	2
m	FALSE	1.384548563098882e-4	6	S-species	0	1	1.613319
m	FALSE	1.384548563098882e-4	7	S-species	0	1	1.436066
m	FALSE	1.384548563098882e-4	8	S-species	6e-323	1	2.535142
m	FALSE	1.384548563098882e-4	9	S-species	0	1	2.132169
m	FALSE	1.384548563098882e-4	10	S-species	0	1	2.028718
m	TRUE	1.384548563098882e-4	1	S-species	1.3845485630988816e-4	1	2.589791
m	TRUE	1.384548563098882e-4	2	S-species	0	1	1.685576
m	TRUE	1.384548563098882e-4	3	S-species	0	1	2.262087
m	TRUE	1.384548563098882e-4	4	S-species	0	1	1.239161
m	TRUE	1.384548563098882e-4	5	E-species	0	1	2
m	TRUE	1.384548563098882e-4	6	S-species	0	1	1.613319
m	TRUE	1.384548563098882e-4	7	S-species	0	1	1.436066
m	TRUE	1.384548563098882e-4	8	S-species	-4e-323	1	2.535142
m	TRUE	1.384548563098882e-4	9	S-species	0	1	2.132169
m	TRUE	1.384548563098882e-4	10	S-species	0	1	2.028718
m	FALSE	1.4574195400750072e-4	1	S-species	1.4574195400750072e-4	1	2.589791
m	FALSE	1.4574195400750072e-4	2	S-species	0	1	1.685576
m	FALSE	1.4574195400750072e-4	3	S-species	0	1	2.262087
m	FALSE	1.4574195400750072e-4	4	S-species	0	1	1.239161
m	FALSE	1.4574195400750072e-4	5	S-species	0	1	2
m	FALSE	1.4574195400750072e-4	6	S-species	0	1	1.613319
m	FALSE	1.4574195400750072e-4	7	S-species	0	1	1.436066
m	FALSE	1.4574195400750072e-4	8	S-species	3.5e-323	1	2.535142
m	FALSE	1.4574195400750072e-4	9	S-species	0	1	2.132169
m	FALSE	1.4574195400750072e-4	10	S-species	0	1	2.028718
m	TRUE	1.4574195400750072e-4	1	S-species	1.4574195400750072e-4	1	2.589791
m	TRUE	1.4574195400750072e-4	2	S-species	0	1	1.685576
m	TRUE	1.4574195400750072e-4	3	S-species	0	1	2.262087
m	TRUE	1.4574195400750072e-4	4	S-species	0	1	1.239161
m	TRUE	1.4574195400750072e-4	5	E-species	0	1	2
m	TRUE	1.4574195400750072e-4	6	S-species	0	1	1.613319
m	TRUE	1.4574195400750072e-4	7	S-species	0	1	1.436066
m	TRUE	1.4574195400750072e-4	8	S-species	0	1	2.535142
m	TRUE	1.4574195400750072e-4	9	S-species	0	1	2.132169
m	TRUE	1.4574195400750072e-4	10	S-species	0	1	2.028718
m	FALSE	1.5341258316272928e-4	1	S-species	1.5341258316272928e-4	1	2.589791
m	FALSE	1.5341258316272928e-4	2	S-species	0	1	1.685576
m	FALSE	1.5341258316272928e-4	3	S-species	0	1	2.262087
m	FALSE	1.5341258316272928e-4	4	S-species	0	1	1.239161
m	FALSE	1.5341258316272928e-4	5	S-species	0	1	2
m	FALSE	1.5341258316272928e-4	6	S-species	0	1	1.613319
m	FALSE	1.5341258316272928e-4	7	S-species	0	1	1.436066
m	FALSE	1.5341258316272928e-4	8	S-species	1.5e-323	1	2.535142
m	FALSE	1.5341258316272928e-4	9	S-species	0	1	2.132169
m	FALSE	1.5341258316272928e-4	10	S-species	0	1	2.028718
m	TRUE	1.5341258316272928e-4	1	S-species	1.5341258316272928e-4	1	2.589791
m	TRUE	1.5341258316272928e-4	2	S-species	0	1	1.685576
m	TRUE	1.5341258316272928e-4	3	S-species	0	1	2.262087
m	TRUE	1.5341258316272928e-4	4	S-species	0	1	1.239161
m	TRUE	1.5341258316272928e-4	5	E-species	0	1	2
m	TRUE	1.5341258316272928e-4	6	S-species	0	1	1.613319
m	TRUE	1.5341258316272928e-4	7	S-species	0	1	1.436066
m	TRUE	1.5341258316272928e-4	8	S-species	0	1	2.535142
m	TRUE	1.5341258316272928e-4	9	S-species	0	1	2.132169
m	TRUE	1.5341258316272928e-4	10	S-species	0	1	2.028718
m	FALSE	1.6148692964175615e-4	1	S-species	1.6148692964175615e-4	1	2.589791
m	FALSE	1.6148692964175615e-4	2	S-species	0	1	1.685576
m	FALSE	1.6148692964175615e-4	3	S-species	0	1	2.262087
m	FALSE	1.6148692964175615e-4	4	S-species	0	1	1.239161
m	FALSE	1.6148692964175615e-4	5	S-species	0	1	2
m	FALSE	1.6148692964175615e-4	6	S-species	0	1	1.613319
m	FALSE	1.6148692964175615e-4	7	S-species	0	1	1.436066
m	FALSE	1.6148692964175615e-4	8	S-species	6e-323	1	2.535142
m	FALSE	1.6148692964175615e-4	9	S-species	0	1	2.132169
m	FALSE	1.6148692964175615e-4	10	S-species	0	1	2.028718
m	TRUE	1.6148692964175615e-4	1	S-species	1.6148692964175615e-4	1	2.589791
m	TRUE	1.6148692964175615e-4	2	S-species	0	1	1.685576
m	TRUE	1.6148692964175615e-4	3	S-species	0	1	2.262087
m	TRUE	1.6148692964175615e-4	4	S-species	0	1	1.239161
m	TRUE	1.6148692964175615e-4	5	E-species	0	1	2
m	TRUE	1.6148692964175615e-4	6	S-species	0	1	1.613319
m	TRUE	1.6148692964175615e-4	7	S-species	0	1	1.436066
m	TRUE	1.6148692964175615e-4	8	S-species	1.5e-323	1	2.535142
m	TRUE	1.6148692964175615e-4	9	S-species	0	1	2.132169
m	TRUE	1.6148692964175615e-4	10	S-species	5e-324	1	2.028718
m	FALSE	1.6998624172477272e-4	1	S-species	1.699862417247727e-4	1	2.589791
m	FALSE	1.6998624172477272e-4	2	S-species	0	1	1.685576
m	FALSE	1.6998624172477272e-4	3	S-species	0	1	2.262087
m	FALSE	1.6998624172477272e-4	4	S-species	0	1	1.239161
m	FALSE	1.6998624172477272e-4	5	S-species	0	1	2
m	FALSE	1.6998624172477272e-4	6	S-species	0	1	1.613319
m	FALSE	1.6998624172477272e-4	7	S-species	0	1	1.436066
m	FALSE	1.6998624172477272e-4	8	S-species	1.5e-323	1	2.535142
m	FALSE	1.6998624172477272e-4	9	S-species	0	1	2.132169
m	FALSE	1.6998624172477272e-4	10	S-species	1.5e-323	1	2.028718
m	TRUE	1.6998624172477272e-4	1	S-species	1.6998624172477272e-4	1	2.589791
m	TRUE	1.6998624172477272e-4	2	S-species	0	1	1.685576
m	TRUE	1.6998624172477272e-4	3	S-species	0	1	2.262087
m	TRUE	1.6998624172477272e-4	4	S-species	0	1	1.239161
m	TRUE	1.6998624172477272e-4	5	E-species	0	1	2
m	TRUE	1.6998624172477272e-4	6	S-species	0	1	1.613319
m	TRUE	1.6998624172477272e-4	7	S-species	0	1	1.436066
m	TRUE	1.6998624172477272e-4	8	S-species	2e-323	1	2.535142
m	TRUE	1.6998624172477272e-4	9	S-species	0	1	2.132169
m	TRUE	1.6998624172477272e-4	10	S-species	5e-324	1	2.028718
m	FALSE	1.789328860225064e-4	1	S-species	1.789328860225064e-4	1	2.589791
m	FALSE	1.789328860225064e-4	2	S-species	0	1	1.685576
m	FALSE	1.789328860225064e-4	3	S-species	0	1	2.262087
m	FALSE	1.789328860225064e-4	4	S-species	0	1	1.239161
m	FALSE	1.789328860225064e-4	5	S-species	0	1	2
m	FALSE	1.789328860225064e-4	6	S-species	0	1	1.613319
m	FALSE	1.789328860225064e-4	7	S-species	0	1	1.436066
m	FALSE	1.789328860225064e-4	8	S-species	-3.5e-323	1	2.535142
m	FALSE	1.789328860225064e-4	9	S-species	0	1	2.132169
m	FALSE	1.789328860225064e-4	10	S-species	0	1	2.028718
m	TRUE	1.789328860225064e-4	1	S-species	1.7893288602250642e-4	1	2.589791
m	TRUE	1.789328860225064e-4	2	S-species	0	1	1.685576
m	TRUE	1.789328860225064e-4	3	S-species	0	1	2.262087
m	TRUE	1.789328860225064e-4	4	S-species	0	1	1.239161
m	TRUE	1.789328860225064e-4	5	E-species	0	1	2
m	TRUE	1.789328860225064e-4	6	S-species	0	1	1.613319
m	TRUE	1.789328860225064e-4	7	S-species	0	1	1.436066
m	TRUE	1.789328860225064e-4	8	S-species	3.5e-323	1	2.535142
m	TRUE	1.789328860225064e-4	9	S-species	0	1	2.132169
m	TRUE	1.789328860225064e-4	10	S-species	0	1	2.028718
m	FALSE	1.8835040633572236e-4	1	S-species	1.8835040633572236e-4	1	2.589791
m	FALSE	1.8835040633572236e-4	2	S-species	0	1	1.685576
m	FALSE	1.8835040633572236e-4	3	S-species	0	1	2.262087
m	FALSE	1.8835040633572236e-4	4	S-species	0	1	1.239161
m	FALSE	1.8835040633572236e-4	5	S-species	0	1	2
m	FALSE	1.8835040633572236e-4	6	S-species	0	1	1.613319
m	FALSE	1.8835040633572236e-4	7	S-species	0	1	1.436066
m	FALSE	1.8835040633572236e-4	8	S-species	-3.5e-323	1	2.535142
m	FALSE	1.8835040633572236e-4	9	S-species	0	1	2.132169
m	FALSE	1.8835040633572236e-4	10	S-species	0	1	2.028718
m	TRUE	1.8835040633572236e-4	1	S-species	1.8835040633572236e-4	1	2.589791
m	TRUE	1.8835040633572236e-4	2	S-species	0	1	1.685576
m	TRUE	1.8835040633572236e-4	3	S-species	0	1	2.262087
m	TRUE	1.8835040633572236e-4	4	S-species	0	1	1.239161
m	TRUE	1.8835040633572236e-4	5	E-species	0	1	2
m	TRUE	1.8835040633572236e-4	6	S-species	0	1	1.613319
m	TRUE	1.8835040633572236e-4	7	S-species	0	1	1.436066
m	TRUE	1.8835040633572236e-4	8	S-species	-3.5e-323	1	2.535142
m	TRUE	1.8835040633572236e-4	9	S-species	0	1	2.132169
m	TRUE	1.8835040633572236e-4	10	S-species	0	1	2.028718
m	FALSE	1.9826358561259402e-4	1	S-species	1.9826358561259402e-4	1	2.589791
m	FALSE	1.9826358561259402e-4	2	S-species	0	1	1.685576
m	FALSE	1.9826358561259402e-4	3	S-species	0	1	2.262087
m	FALSE	1.9826358561259402e-4	4	S-species	0	1	1.239161
m	FALSE	1.9826358561259402e-4	5	S-species	0	1	2
m	FALSE	1.9826358561259402e-4	6	S-species	0	1	1.613319
m	FALSE	1.9826358561259402e-4	7	S-species	0	1	1.436066
m	FALSE	1.9826358561259402e-4	8	S-species	3.5e-323	1	2.535142
m	FALSE	1.9826358561259402e-4	9	S-species	0	1	2.132169
m	FALSE	1.9826358561259402e-4	10	S-species	0	1	2.028718
m	TRUE	1.9826358561259402e-4	1	S-species	1.9826358561259402e-4	1	2.589791
m	TRUE	1.9826358561259402e-4	2	S-species	0	1	1.685576
m	TRUE	1.9826358561259402e-4	3	S-species	0	1	2.262087
m	TRUE	1.9826358561259402e-4	4	S-species	0	1	1.239161
m	TRUE	1.9826358561259402e-4	5	E-species	0	1	2
m	TRUE	1.9826358561259402e-4	6	S-species	0	1	1.613319
m	TRUE	1.9826358561259402e-4	7	S-species	0	1	1.436066
m	TRUE	1.9826358561259402e-4	8	S-species	-1.5e-323	1	2.535142
m	TRUE	1.9826358561259402e-4	9	S-species	0	1	2.132169
m	TRUE	1.9826358561259402e-4	10	S-species	0	1	2.028718
m	FALSE	2.0869851116698756e-4	1	S-species	2.0869851116698756e-4	1	2.589791
m	FALSE	2.0869851116698756e-4	2	S-species	0	1	1.685576
m	FALSE	2.0869851116698756e-4	3	S-species	0	1	2.262087
m	FALSE	2.0869851116698756e-4	4	S-species	0	1	1.239161
m	FALSE	2.0869851116698756e-4	5	S-species	0	1	2
m	FALSE	2.0869851116698756e-4	6	S-species	0	1	1.613319
m	FALSE	2.0869851116698756e-4	7	S-species	0	1	1.436066
m	FALSE	2.0869851116698756e-4	8	S-species	-1.5e-323	1	2.535142
m	FALSE	2.0869851116698756e-4	9	S-species	0	1	2.132169
m	FALSE	2.0869851116698756e-4	10	S-species	5e-324	1	2.028718
m	TRUE	2.0869851116698756e-4	1	S-species	2.0869851116698754e-4	1	2.589791
m	TRUE	2.0869851116698756e-4	2	S-species	0	1	1.685576
m	TRUE	2.0869851116698756e-4	3	S-species	0	1	2.262087
m	TRUE	2.0869851116698756e-4	4	S-species	0	1	1.239161
m	TRUE	2.0869851116698756e-4	5	E-species	0	1	2
m	TRUE	2.0869851116698756e-4	6	S-species	0	1	1.613319
m	TRUE	2.0869851116698756e-4	7	S-species	0	1	1.436066
m	TRUE	2.0869851116698756e-4	8	S-species	-1.5e-323	1	2.535142
m	TRUE	2.0869851116698756e-4	9	S-species	0	1	2.132169
m	TRUE	2.0869851116698756e-4	10	S-species	0	1	2.028718
m	FALSE	2.1968264332928791e-4	1	S-species	2.1968264332928791e-4	1	2.589791
m	FALSE	2.1968264332928791e-4	2	S-species	0	1	1.685576
m	FALSE	2.1968264332928791e-4	3	S-species	0	1	2.262087
m	FALSE	2.1968264332928791e-4	4	S-species	0	1	1.239161
m	FALSE	2.1968264332928791e-4	5	S-species	0	1	2
m	FALSE	2.1968264332928791e-4	6	S-species	0	1	1.613319
m	FALSE	2.1968264332928791e-4	7	S-species	0	1	1.436066
m	FALSE	2.1968264332928791e-4	8	S-species	2e-323	1	2.535142
m	FALSE	2.1968264332928791e-4	9	S-species	0	1	2.132169
m	FALSE	2.1968264332928791e-4	10	S-species	0	1	2.028718
m	TRUE	2.1968264332928791e-4	1	S-species	2.1968264332928791e-4	1	2.589791
m	TRUE	2.1968264332928791e-4	2	S-species	0	1	1.685576
m	TRUE	2.1968264332928791e-4	3	S-species	0	1	2.262087
m	TRUE	2.1968264332928791e-4	4	S-species	0	1	1.239161
m	TRUE	2.1968264332928791e-4	5	E-species	0	1	2
m	TRUE	2.1968264332928791e-4	6	S-species	0	1	1.613319
m	TRUE	2.1968264332928791e-4	7	S-species	0	1	1.436066
m	TRUE	2.1968264332928791e-4	8	S-species	2e-323	1	2.535142
m	TRUE	2.1968264332928791e-4	9	S-species	0	1	2.132169
m	TRUE	2.1968264332928791e-4	10	S-species	0	1	2.028718
m	FALSE	2.3124488771042602e-4	1	S-species	2.3124488771042602e-4	1	2.589791
m	FALSE	2.3124488771042602e-4	2	S-species	0	1	1.685576
m	FALSE	2.3124488771042602e-4	3	S-species	0	1	2.262087
m	FALSE	2.3124488771042602e-4	4	S-species	0	1	1.239161
m	FALSE	2.3124488771042602e-4	5	S-species	0	1	2
m	FALSE	2.3124488771042602e-4	6	S-species	0	1	1.613319
m	FALSE	2.3124488771042602e-4	7	S-species	0	1	1.436066
m	FALSE	2.3124488771042602e-4	8	S-species	-5e-324	1	2.535142
m	FALSE	2.3124488771042602e-4	9	S-species	0	1	2.132169
m	FALSE	2.3124488771042602e-4	10	S-species	1.5e-323	1	2.028718
m	TRUE	2.3124488771042602e-4	1	S-species	2.3124488771042602e-4	1	2.589791
m	TRUE	2.3124488771042602e-4	2	S-species	0	1	1.685576
m	TRUE	2.3124488771042602e-4	3	S-species	0	1	2.262087
m	TRUE	2.3124488771042602e-4	4	S-species	0	1	1.239161
m	TRUE	2.3124488771042602e-4	5	E-species	0	1	2
m	TRUE	2.3124488771042602e-4	6	S-species	0	1	1.613319
m	TRUE	2.3124488771042602e-4	7	S-species	0	1	1.436066
m	TRUE	2.3124488771042602e-4	8	S-species	0	1	2.535142
m	TRUE	2.3124488771042602e-4	9	S-species	0	1	2.132169
m	TRUE	2.3124488771042602e-4	10	S-species	0	1	2.028718
m	FALSE	2.4341567126927592e-4	1	S-species	2.434156712692759e-4	1	2.589791
m	FALSE	2.4341567126927592e-4	2	S-species	0	1	1.685576
m	FALSE	2.4341567126927592e-4	3	S-species	5e-324	1	2.262087
m	FALSE	2.4341567126927592e-4	4	S-species	0	1	1.239161
m	FALSE	2.4341567126927592e-4	5	S-species	0	1	2
m	FALSE	2.4341567126927592e-4	6	S-species	0	1	1.613319
m	FALSE	2.4341567126927592e-4	7	S-species	0	1	1.436066
m	FALSE	2.4341567126927592e-4	8	S-species	7.4e-323	1	2.535142
m	FALSE	2.4341567126927592e-4	9	S-species	0	1	2.132169
m	FALSE	2.4341567126927592e-4	10	S-species	0	1	2.028718
m	TRUE	2.4341567126927592e-4	1	S-species	2.4341567126927592e-4	1	2.589791
m	TRUE	2.4341567126927592e-4	2	S-species	0	1	1.685576
m	TRUE	2.4341567126927592e-4	3	S-species	0	1	2.262087
m	TRUE	2.4341567126927592e-4	4	S-species	0	1	1.239161
m	TRUE	2.4341567126927592e-4	5	E-species	0	1	2
m	TRUE	2.4341567126927592e-4	6	S-species	0	1	1.613319
m	TRUE	2.4341567126927592e-4	7	S-species	0	1	1.436066
m	TRUE	2.4341567126927592e-4	8	S-species	7.4e-323	1	2.535142
m	TRUE	2.4341567126927592e-4	9	S-species	0	1	2.132169
m	TRUE	2.4341567126927592e-4	10	S-species	-5e-324	1	2.028718
m	FALSE	2.5622702238359914e-4	1	S-species	2.5622702238359914e-4	1	2.589791
m	FALSE	2.5622702238359914e-4	2	S-species	0	1	1.685576
m	FALSE	2.5622702238359914e-4	3	S-species	0	1	2.262087
m	FALSE	2.5622702238359914e-4	4	S-species	0	1	1.239161
m	FALSE	2.5622702238359914e-4	5	S-species	0	1	2
m	FALSE	2.5622702238359914e-4	6	S-species	0	1	1.613319
m	FALSE	2.5622702238359914e-4	7	S-species	0	1	1.436066
m	FALSE	2.5622702238359914e-4	8	S-species	0	1	2.535142
m	FALSE	2.5622702238359914e-4	9	S-species	0	1	2.132169
m	FALSE	2.5622702238359914e-4	10	S-species	0	1	2.028718
m	TRUE	2.5622702238359914e-4	1	S-species	2.5622702238359914e-4	1	2.589791
m	TRUE	2.5622702238359914e-4	2	S-species	0	1	1.685576
m	TRUE	2.5622702238359914e-4	3	S-species	0	1	2.262087
m	TRUE	2.5622702238359914e-4	4	S-species	0	1	1.239161
m	TRUE	2.5622702238359914e-4	5	E-species	0	1	2
m	TRUE	2.5622702238359914e-4	6	S-species	0	1	1.613319
m	TRUE	2.5622702238359914e-4	7	S-species	0	1	1.436066
m	TRUE	2.5622702238359914e-4	8	S-species	3.5e-323	1	2.535142
m	TRUE	2.5622702238359914e-4	9	S-species	0	1	2.132169
